table_id,time_quantum,processes
112,,"0,6.4,5;0,6.7,5;0,6.8,5;0,6.4,5;0,6.3,5;0,6.3,5;0,6.6,5;0,6.3,5;0,7.2,5;0,6.9,5;0,6.4,5;0,6.4,5;0,6.7,5;0,6.9,5"
113,4,"0.3,0.6,6;4.9,7.0,1;9.6,0.7,10;3.6,1.7,8"
114,1,"9.0,4.5,7;5.1,0.5,1;0.4,4.0,10;1.3,1.2,2;5.8,0.6,4;7.8,1.9,8;7.7,3.7,10;5.7,1.9,5;0.6,1.2,10;6.3,3.0,8;4.8,0.8,1;7.4,5.9,9;6.9,0.9,1;1.1,3.4,7;9.8,1.5,8;5.6,5.4,7;2.2,1.1,9"
115,1,"3.3,2.0,1;4.5,6.2,10;6.8,1.6,7;7.2,0.6,6;8.2,0.6,4;0.1,5.7,7;9.6,5.1,6;3.0,2.5,6"
116,3,"4.5,11.9,7;1.8,11.9,5;4.8,9.7,4;5.4,3.7,7;0.7,14.8,7;1.7,14.0,6"
117,2,"7.6,1.5,10;3.9,3.4,8;9.6,3.4,10;0.2,1.2,7;3.3,6.9,3;1.1,1.2,8;3.2,2.2,5;7.0,1.6,1;0.2,2.4,6;9.9,1.2,5;6.4,2.4,1;5.9,0.7,5;1.3,0.6,10;5.2,1.8,7;7.0,2.5,2"
118,2,"5.1,0.9,4;1.3,1.2,8;0.1,0.6,3;6.1,10.0,8;1.5,0.8,4;3.3,2.2,2;8.4,0.6,1;1.6,5.5,3;9.5,0.9,1;8.5,5.2,7;2.8,1.0,10;5.1,4.9,7;0.5,0.7,2"
119,,"0,14.0,5;0,14.4,5;0,13.5,5;0,12.2,5"
120,3,"10.4,9.3,10;4.4,7.1,5;10.0,7.4,7;3.0,7.6,5;8.6,6.5,6;0.2,5.8,10;6.6,6.7,8;12.9,2.6,7;19.2,5.6,10;11.5,2.8,1;17.6,2.2,8;0.3,5.7,7;7.0,2.4,8"
121,1,"0.1,1.3,5;6.5,0.7,10;7.5,1.3,2;0.6,4.1,2;3.0,4.9,10;5.9,1.5,8;4.5,6.8,8;7.4,1.9,5;2.3,6.1,1;0.9,0.7,1;5.1,2.4,9;3.0,2.2,5;5.4,2.4,8;8.6,1.5,6;5.9,0.7,9;0.3,0.9,9"
122,5,"3.1,8.2,3;5.4,5.3,6;2.8,8.9,4;8.9,10.0,5;5.3,9.0,6;4.1,1.1,5;2.1,2.6,4;3.6,8.4,5;5.2,3.3,5;2.7,14.1,3;0.6,9.1,3;3.2,8.5,3;1.3,2.6,4;8.2,8.6,3;0.3,4.9,5;4.3,3.0,6"
123,3,"1.3,5.4,3;0,11.3,4;0.2,9.3,4;0,6.8,5;2.2,1.5,4;0,15.0,6;1.4,7.8,5"
124,3,"4.0,0.6,8;5.1,6.4,4;1.2,0.7,2;4.7,1.5,3;2.3,3.6,3;2.1,6.8,2"
125,2,"0,1.6,5;0,10.5,5;2.7,3.2,5;1.6,5.4,7"
126,2,"2.2,3.0,8;6.6,1.0,10;4.8,0.9,3;2.0,3.2,9;3.8,2.3,4;7.5,2.3,1;3.6,3.1,6;0.0,3.5,4;9.0,1.9,4;5.6,3.4,4"
127,3,"2.5,9.9,7;0.3,5.7,7;3.6,11.6,3;2.4,12.0,7;3.7,3.2,6;5.9,7.2,3;4.8,10.6,4;0,11.7,5;4.6,10.8,5;2.1,11.6,3;2.3,6.0,3;1.8,13.4,3;4.3,1.5,4;1.7,3.8,6;4.3,12.2,4;4.4,7.4,4;1.9,12.4,6;3.4,9.7,5;5.8,10.3,6"
128,4,"6.9,1.8,5;6.4,1.7,4;5.2,0.6,9;9.9,1.0,2;0.6,3.9,1;6.4,4.1,5;9.6,4.4,2;0.9,1.3,3;8.1,0.5,2;9.9,4.0,8;2.2,0.6,5;8.5,0.6,5;8.7,3.7,7;0.2,1.5,6"
129,2,"4.9,2.0,6;9.6,2.0,2;5.0,1.4,1;1.0,0.9,9;5.0,2.1,9;5.5,2.4,4;2.6,3.1,8;5.6,3.5,4;5.5,5.5,8;8.6,1.7,9;3.5,0.6,3;3.0,0.6,6;9.8,1.0,8"
130,1,"10.3,1.2,8;1.2,6.6,6;9.8,3.2,10;4.0,7.0,8;9.3,1.2,7;9.9,8.1,1"
131,4,"10.0,2.4,6;3.3,10.0,6;18.8,9.5,1;1.4,4.7,7;10.2,3.2,9;15.7,4.4,10"
132,,"0,7.3,5;0,6.4,5;0,7.2,5;0,6.4,5;0,6.8,5;0,7.1,5"
133,2,"9.0,2.8,8;5.9,5.2,9;3.6,1.0,4;4.5,4.0,7;6.0,1.8,8;9.0,4.1,1;4.9,2.9,4;8.3,7.1,6"
134,4,"2.3,0.5,3;5.6,1.4,1;9.8,1.4,10;6.7,0.7,6;3.9,1.8,6;2.0,7.1,7;5.0,4.8,2"
135,3,"13.6,6.2,8;14.2,2.8,9;3.2,7.5,8;6.5,9.5,9;15.2,8.5,1;12.7,1.6,9;8.4,1.4,8"
136,1,"6.8,2.2,9;7.9,4.3,10;8.0,1.7,3;9.0,2.6,3;4.5,3.1,6;3.3,3.0,4;6.9,0.6,8;7.9,1.4,4;3.6,1.5,6;3.4,5.1,7;4.3,2.7,5;8.0,10.1,3;4.2,0.5,6;5.5,3.2,6;2.5,3.4,7;8.8,1.7,1;2.7,0.5,2;8.8,6.2,7;1.0,0.5,2"
137,,"0,9.6,5;0,8.6,5;0,8.7,5;0,8.8,5;0,8.4,5;0,9.6,5;0,9.6,5;0,8.4,5;0,9.3,5;0,8.8,5;0,8.4,5"
138,3,"19.0,2.3,8;3.7,6.6,6;2.2,7.6,9;16.8,6.8,6;3.4,9.0,7;5.9,5.5,7;16.8,8.6,1;3.9,3.9,8;19.3,1.4,8"
139,3,"8.7,8.2,4;3.6,9.7,5;4.0,7.1,6;3.1,11.2,6;3.5,14.0,4;8.3,2.5,3;3.5,12.5,4;3.5,6.9,7;4.3,6.5,4;5.9,4.1,3;5.7,11.5,7;4.5,12.6,3;4.6,10.5,6;7.3,4.9,5"
140,5,"3.6,2.7,6;3.3,14.2,4;0.4,12.3,6;1.4,11.5,6;3.1,1.7,5;1.5,5.3,4;7.2,2.3,3;2.7,7.0,5;0.4,13.7,7;4.8,2.5,6;2.3,12.6,6;3.1,14.5,6;1.3,12.5,5;3.0,6.0,3;1.3,11.8,3;2.1,7.1,4;3.8,12.8,5"
141,2,"2.3,4.2,4;6.8,5.3,7;2.2,7.4,7;4.5,12.2,7;2.8,8.2,3;6.3,12.9,3;0.4,12.0,5"
142,,"0,10.7,5;0,10.7,5;0,9.6,5;0,11.1,5;0,11.0,5;0,10.4,5;0,10.0,5;0,9.9,5;0,11.0,5;0,11.0,5;0,10.8,5;0,9.7,5;0,9.8,5;0,10.7,5;0,10.6,5;0,10.0,5"
143,4,"6.5,2.5,3;8.7,3.3,5;4.5,1.3,5;8.9,1.8,8;0.0,1.4,2;6.2,1.7,4;3.3,4.2,2;4.0,1.8,10;3.1,4.4,3;0.1,0.8,3"
144,,"0,11.3,5;0,12.4,5;0,12.2,5;0,12.9,5;0,11.0,5;0,12.7,5"
145,3,"0,12.7,5;1.8,8.3,3;0,8.8,4;0,11.4,5;1.3,8.3,3;0.5,12.6,6;0,8.1,5;2.2,12.1,4"
146,3,"16.6,4.1,6;9.9,6.3,5;5.4,9.9,8;2.3,4.1,10;14.4,5.8,7;2.1,1.2,5;17.4,5.0,8;13.5,5.9,8;13.7,2.5,8;18.4,6.9,10;9.6,9.8,10;17.0,7.7,8;0.2,7.4,6;19.4,4.4,6;8.5,2.2,1;13.3,7.1,9;4.5,9.4,10;12.9,9.2,8;10.4,9.5,9;13.0,6.2,7"
147,1,"9.2,0.5,9;6.4,1.1,9;4.4,3.1,4;2.2,0.6,1;3.4,3.5,10;2.2,0.9,3;5.4,2.7,7;0.1,2.9,5;7.8,1.1,8;6.6,3.2,1;9.0,6.7,1"
148,3,"1.8,12.0,7;5.0,14.9,6;2.2,3.0,3;0.2,7.5,5;4.6,2.4,3;5.3,4.3,4;3.7,14.1,7;3.7,10.0,6;3.7,3.1,7;0.8,11.9,4;6.7,8.1,3;1.7,10.9,4;3.2,6.5,4;4.6,7.6,3;1.3,9.2,3;5.2,4.5,5"
149,1,"3.8,1.9,10;2.0,3.8,3;3.1,3.1,9;8.8,0.6,8;2.6,0.8,5;5.8,2.7,10;3.5,4.7,3"
150,1,"1.4,1.3,6;1.1,0.6,5;4.1,2.6,3;5.2,3.3,6;1.6,1.8,9;7.1,2.4,9;7.8,3.7,9;5.1,0.8,1;3.4,0.6,2"
151,5,"5.1,1.7,7;1.3,3.9,3;1.1,13.5,6;1.8,14.1,6;0,2.3,4;1.2,6.0,5;0.7,14.0,3"
152,2,"8.1,1.4,7;3.4,4.3,6;7.0,0.9,2;8.9,2.1,5;5.1,2.3,9;0.5,1.9,1;7.3,1.1,6;3.3,8.5,7;1.8,3.9,5;0.9,1.5,8"
153,4,"5.5,8.9,5;5.4,6.1,4;2.4,8.6,5;1.5,13.9,7;4.4,7.6,4;3.9,2.2,6;5.9,13.7,5;4.5,7.1,3;4.1,10.5,3;4.7,7.3,4;6.1,6.9,6;3.0,10.7,7;4.4,7.6,7;1.9,4.1,5;4.3,11.4,3;4.0,1.8,7;1.0,11.1,6;3.5,5.2,6;4.8,11.1,7"
154,1,"5.0,1.5,4;9.9,2.4,3;7.4,0.7,1;3.9,1.8,6;7.4,5.6,4;1.7,5.2,5;1.9,0.8,2;1.2,1.9,2;4.2,9.6,5;9.7,4.1,4"
155,2,"3.0,3.9,5;17.9,5.6,7;13.8,9.8,6;12.3,9.0,5;7.2,2.4,8;18.8,6.5,7;6.9,5.6,5;15.3,3.6,10;11.6,6.5,1;15.9,1.8,7;15.0,7.2,7;19.5,9.4,8;11.1,7.2,7;0.5,8.3,9"
156,4,"8.7,10.6,2;5.4,4.6,5;1.7,3.1,2;1.1,4.1,1;3.0,0.7,5;2.5,6.7,6;2.0,1.1,4;0.4,1.6,7;2.4,0.8,4"
157,3,"5.7,2.8,3;3.7,8.0,5;5.6,2.7,5;2.6,12.8,6;3.0,7.4,5;4.7,11.0,7;7.7,9.3,3;4.3,13.4,5;2.8,3.9,7;2.6,3.8,4;0.8,5.0,4;3.6,1.0,4;4.6,11.0,5"
158,,"0,10.9,5;0,11.2,5;0,10.4,5;0,11.3,5;0,9.4,5;0,9.5,5;0,10.3,5;0,11.1,5;0,9.4,5;0,9.6,5;0,11.0,5;0,10.6,5;0,10.6,5;0,10.5,5;0,11.2,5;0,11.1,5;0,9.9,5"
159,2,"8.3,6.1,9;8.1,6.7,1;13.9,1.4,8;19.6,9.7,7;0.8,9.9,6;10.4,6.5,6;7.7,9.7,6;15.3,6.9,6;0.6,8.1,8;5.0,6.9,10;0.3,2.7,9;9.9,6.8,9;5.0,6.1,8;18.1,4.1,5"
160,4,"1.0,5.8,3;0,2.6,7;3.1,9.8,5;0,2.0,4;0,14.6,7;0.9,9.8,7;0,6.0,5;3.0,13.4,5"
161,4,"5.3,6.9,7;7.1,5.5,6;8.4,5.8,4;3.3,2.8,5;3.8,12.1,5;6.0,5.4,4;4.4,8.8,4;2.4,6.6,6;6.5,12.1,7;5.5,3.9,7;5.1,6.1,4;5.6,2.3,4;5.7,9.1,5;5.3,6.6,6;4.3,11.4,7"
162,4,"0,13.3,4;1.5,6.7,7;7.0,10.0,4;3.4,5.2,6;6.7,10.7,6;0.5,5.6,6;7.0,3.3,7;2.6,2.7,3;5.3,14.6,4;3.2,7.8,7;1.0,1.6,6;5.7,7.1,3;5.4,2.3,7"
163,2,"10.0,9.1,5;9.0,1.1,7;8.4,5.1,6;2.0,1.1,7;4.0,1.7,4;2.4,1.2,6;8.1,0.9,10;3.6,4.2,8;3.4,1.3,4;9.4,0.6,4;6.5,0.6,5;6.5,0.8,2;6.0,6.5,10;2.5,0.7,1;10.0,4.1,4;5.0,2.2,6;6.1,1.0,2"
164,4,"2.4,1.1,1;3.7,1.1,3;4.4,1.3,10;9.8,8.7,6;7.3,7.2,9;5.9,6.3,2;3.6,7.8,7;7.0,1.5,2;0.9,7.5,8;3.7,0.6,8;1.9,1.5,5;5.5,4.5,2;5.7,7.2,2;7.3,0.9,2"
165,3,"7.4,0.9,5;0.9,1.4,2;8.3,2.4,1;1.6,1.0,5;1.9,0.6,3;9.9,3.3,2;3.1,5.7,7;9.9,5.7,1;0.9,2.8,6;8.2,0.6,4;8.4,3.0,1;4.1,3.4,10;9.5,1.5,1;8.3,7.6,8;3.5,0.8,8;3.2,0.7,3"
166,2,"10.9,4.0,9;5.0,6.5,6;15.4,8.9,1;0.9,2.3,7;18.3,6.1,6;10.8,4.8,7"
167,3,"3.7,3.5,6;5.7,13.3,7;3.1,9.6,3;7.2,1.2,4;1.7,6.4,4;5.4,10.5,3;6.0,6.5,7;4.7,5.7,4;3.4,4.0,4;0.7,13.0,3;2.6,7.8,5;1.8,12.2,5;1.6,5.5,6;1.1,5.4,5;4.6,10.8,3;8.1,12.9,7;2.5,13.2,5;3.8,6.8,3;8.9,11.1,5;2.0,10.4,5"
168,3,"1.2,2.0,6;9.1,2.1,9;5.3,2.2,9;8.8,3.8,8;1.2,2.7,2;3.5,3.7,1;9.2,1.8,9;5.4,2.2,9;6.7,0.6,6;6.8,3.1,7"
169,2,"7.7,1.3,4;5.3,5.2,8;6.6,1.5,5;7.3,0.9,5;1.1,6.0,5;8.1,1.4,9;1.4,1.9,3;3.8,3.3,9;3.6,3.9,1;4.6,1.2,10;1.6,1.1,9;7.0,8.3,2;0.5,4.9,8;7.2,2.7,7;3.5,3.1,1;3.2,0.9,7"
170,2,"0.3,5.2,1;0.4,0.9,4;4.5,1.0,10;7.1,2.0,4;6.8,1.4,5;7.2,4.1,3;4.6,1.0,10;7.3,4.0,3;9.7,2.5,10;4.8,1.4,6;1.9,1.2,2;9.4,4.1,2;4.1,6.9,10"
171,4,"4.3,10.0,6;3.1,9.7,3;4.0,9.3,7;0.2,3.8,5;3.3,4.5,5;0.1,8.5,3;0,12.5,5;2.5,11.9,4;3.8,1.4,6;0,13.5,5;1.2,11.6,3;3.3,1.5,7;1.3,8.6,5;4.0,13.8,7;0.7,7.4,7;0,8.2,7;2.2,10.5,7"
172,,"0,12.4,5;0,13.9,5;0,14.2,5;0,14.6,5;0,14.0,5;0,14.9,5;0,13.7,5;0,14.1,5;0,15.0,5;0,12.4,5;0,13.8,5;0,14.1,5"
173,3,"9.5,0.7,6;9.9,3.5,10;0.4,0.6,6;5.1,2.7,7;8.6,0.7,9;6.7,1.7,8;1.5,5.4,4;8.5,1.1,10;2.1,1.6,2;2.5,1.4,8"
174,4,"0,5.3,3;3.8,5.9,3;2.0,4.7,5;0,13.5,3;1.5,8.9,5;0,9.0,5;0,8.1,6;1.3,2.7,7;4.4,9.8,4;1.0,11.1,3;3.2,12.9,6;0,9.9,3;0,9.0,6;0,2.5,5;0,13.7,4;1.7,7.7,4;1.4,3.4,6;0.3,9.5,7"
175,1,"4.9,1.5,6;3.5,1.6,10;1.5,2.4,4;5.8,1.2,3;4.9,3.1,3;6.6,0.6,4;1.9,3.4,8;4.7,1.1,4;2.8,2.2,8;4.8,2.1,2;8.9,2.2,8"
176,,"0,5.3,5;0,5.5,5;0,5.9,5;0,6.2,5;0,5.6,5;0,6.5,5;0,5.5,5;0,5.7,5;0,5.4,5"
177,3,"3.5,7.3,7;1.2,1.6,5;6.3,0.6,4;9.4,1.9,8;3.9,2.2,6;5.2,0.5,3;1.2,2.5,5;1.5,1.7,4;4.3,1.4,6;6.2,1.0,1;8.9,2.5,8;8.5,1.8,6;1.5,0.9,7;6.1,0.6,8;3.8,3.5,9;10.0,1.3,7;5.3,0.7,9;2.5,1.4,5;8.7,4.8,5;6.1,7.2,2"
178,3,"1.6,5.6,3;1.6,1.9,7;0,13.8,4;3.3,5.9,4;5.6,1.1,5;3.0,6.3,5;2.0,5.6,7;5.2,6.0,6;1.5,1.7,4;2.6,2.6,7;5.7,5.2,5;4.6,6.1,6;2.6,11.4,3;4.4,14.1,7;2.3,14.8,4;7.0,7.7,5;4.3,10.3,5;5.1,3.6,5;5.8,14.3,6;5.9,11.5,6"
179,2,"8.4,0.7,10;6.1,2.0,9;0.1,0.8,1;1.8,6.3,8;7.5,0.7,3;7.3,2.0,1;0.6,2.0,9;5.7,7.8,1;1.7,4.6,9;0.4,5.8,8;8.4,0.9,1;1.5,3.5,4;6.5,4.0,2"
180,2,"5.2,9.1,1;15.3,8.0,10;2.8,1.4,8;11.2,3.7,6;3.4,9.0,7;18.4,2.2,5;17.0,1.7,6;1.3,9.2,7;17.0,4.9,7;17.5,2.6,9"
181,2,"3.3,9.7,7;2.0,2.7,1;9.2,2.1,10;3.7,2.7,7;3.0,6.7,6;19.2,3.3,6;13.6,7.9,6;0.4,3.6,10;10.5,8.6,10;19.9,4.6,5;9.9,3.0,10;2.6,8.1,5;5.3,9.7,5;5.9,2.1,7"
182,4,"8.9,9.2,6;6.3,6.1,8;19.9,3.5,1;19.3,1.3,6;9.4,4.1,8;19.3,5.9,8;18.7,6.6,6;4.7,2.8,7;15.7,7.0,9;6.3,8.3,8;14.9,8.4,10;15.7,9.9,7;2.2,10.0,5;18.7,5.9,7;4.6,9.8,9"
183,2,"15.4,9.1,5;16.0,6.3,9;10.0,8.5,7;10.6,3.2,6;15.3,9.7,5;19.1,4.7,9;7.6,4.9,1;4.6,3.2,7;16.1,4.4,7;19.1,7.3,8;1.8,6.7,8"
184,2,"6.5,0.5,10;4.6,1.3,9;6.8,1.0,1;4.9,1.0,1;8.4,2.3,6;9.2,4.1,10;4.5,8.9,5;6.8,1.1,4;2.4,1.8,6;8.8,1.1,2;0.4,1.6,4;1.2,5.3,4;3.1,1.1,10;0.4,2.5,4;1.1,2.4,8;5.4,7.5,8"
185,,"0,9.3,5;0,10.3,5;0,9.9,5;0,9.0,5;0,10.4,5;0,9.2,5;0,9.0,5;0,9.9,5"
186,2,"1.1,4.7,3;2.0,3.5,6;1.4,3.7,3;0.0,10.4,7;0.4,14.8,7;1.1,6.3,3;1.6,5.1,5;3.3,8.1,5;5.2,10.9,5;3.7,7.9,3;2.7,10.1,7;0.3,4.7,4;0.9,13.1,4;2.7,3.9,3;0.3,2.9,5"
187,3,"2.3,0.7,10;0.2,3.5,8;5.8,2.3,2;4.9,0.6,6;6.7,0.8,8;4.4,1.2,6;2.2,5.7,9;6.1,5.6,9;1.1,3.0,7;9.2,2.4,6;6.6,0.5,7;4.1,1.4,1;4.6,1.4,7;2.1,2.9,10;9.1,0.9,7;8.7,1.1,6"
188,5,"1.0,6.0,4;4.3,7.1,7;2.0,12.4,6;3.6,13.6,4;0.7,3.1,7;2.8,1.0,4;0,3.9,3;1.0,4.8,4"
189,5,"3.1,5.9,5;0,12.0,7;4.5,10.8,3;2.9,9.1,4;0.5,13.6,6;2.6,14.7,4;2.4,15.0,7;2.8,1.4,4"
190,2,"4.5,0.9,9;3.4,4.6,1;1.7,1.0,5;2.8,3.5,5"
191,4,"8.4,1.8,7;6.2,2.2,10;10.6,2.4,7;5.4,3.4,8;16.2,1.3,1;9.5,3.3,8;6.0,9.1,8;1.9,2.6,7;1.0,1.2,9"
192,1,"10.0,3.1,7;5.1,2.6,8;4.0,1.8,7;6.9,3.7,5;6.4,1.9,5;8.2,3.7,2"
193,2,"1.7,1.7,7;1.4,10.9,6;0.5,9.5,4;1.3,7.2,7;2.2,11.3,4;1.3,2.8,3;2.8,5.2,3;4.6,10.9,7;0,4.6,6;0,2.6,6;3.9,9.3,5;0,2.5,5;2.0,7.5,3;0,2.2,6"
194,,"0,6.1,5;0,6.0,5;0,5.9,5;0,6.6,5;0,5.8,5;0,6.5,5;0,5.9,5;0,6.1,5;0,6.3,5;0,5.9,5;0,6.4,5;0,6.0,5;0,5.7,5;0,6.0,5"
195,3,"0.9,5.7,4;0,12.7,6;0,11.3,7;1.9,9.1,4;0,6.5,4;0.9,12.8,6;1.1,13.8,7;2.8,13.6,5;3.7,2.2,4;1.4,13.8,5;0,13.9,4;3.1,15.0,3;0,7.0,4;2.1,8.6,4;0.6,3.3,5;3.3,11.1,5;2.0,8.4,4"
196,5,"4.0,12.0,5;6.5,13.0,3;3.2,1.3,4;6.7,9.4,6;4.7,13.7,5;7.3,12.5,6;3.7,12.2,4;4.1,3.8,4;2.7,12.1,3;1.7,14.9,3;7.4,7.4,5;2.7,10.2,3"
197,4,"7.4,1.6,4;8.0,0.9,7;0.2,1.4,1;0.1,1.2,9;7.9,0.5,1;8.1,3.5,9;5.7,0.8,3;5.2,2.6,6;3.8,1.5,4;1.5,0.9,2;5.1,2.8,7;7.5,0.8,8;2.9,2.3,1;7.1,4.0,3;7.1,1.8,1;6.6,3.2,2;1.6,1.9,10"
198,1,"9.5,0.7,5;1.1,2.1,1;8.6,1.7,7;9.7,0.9,10;1.9,0.8,10;2.9,2.0,7;6.5,3.9,9;8.8,1.8,4;3.3,1.4,10;9.6,0.9,4;5.8,3.1,2"
199,3,"1.0,2.2,4;3.8,1.4,6;7.3,13.9,6;5.5,6.0,4;7.0,13.7,7;3.7,13.7,4;4.0,3.3,5;7.1,7.0,3;3.1,5.6,7;7.1,4.9,4;8.4,3.8,7;5.0,10.5,6;7.8,8.2,7;4.6,13.7,7;5.4,9.6,6;3.2,1.9,7;7.5,4.0,7;3.4,1.8,3"
200,3,"1.3,7.8,8;2.3,3.2,5;5.9,0.7,2;5.7,0.9,9;6.7,1.6,10;0.6,1.3,2;4.4,1.2,7"
201,5,"2.8,1.9,4;0.6,7.5,6;0.2,13.2,5;4.5,12.9,4;3.1,14.2,6;3.4,7.5,6;0.4,10.8,4;3.6,4.0,5"
202,4,"4.9,5.6,3;3.0,6.3,5;0.6,7.6,5;1.9,13.8,6;2.8,10.9,6;4.0,3.9,3;3.5,3.5,3;5.4,7.4,7;0.9,13.8,7"
203,3,"8.1,8.7,1;6.5,1.0,10;17.0,5.9,9;3.3,1.2,8;5.4,1.2,6;9.5,6.8,10;10.3,9.3,7;10.1,5.6,10;17.0,3.1,7;11.9,3.4,10;16.2,9.9,7;8.8,6.9,9;3.3,9.2,6;14.6,2.3,6;16.2,4.3,7;7.1,3.7,6;6.2,1.1,8;15.4,4.7,10;11.1,9.7,5"
204,,"0,11.7,5;0,11.0,5;0,12.7,5;0,11.0,5"
205,1,"5.0,12.5,3;6.2,1.0,6;4.4,0.5,4;2.3,0.9,5;0.4,1.3,8;7.5,2.4,10;7.0,2.0,8;5.4,1.3,9;0.9,1.6,8;8.8,1.4,9;4.6,4.5,4;9.9,0.6,8;3.2,1.0,3;3.1,0.8,7;6.4,1.5,6;7.7,2.1,8"
206,1,"6.2,1.4,8;3.9,3.4,9;9.5,7.0,10;4.5,1.0,5;3.4,4.5,6;9.2,0.6,1;3.8,2.3,6;4.9,0.7,7;5.4,2.0,10;4.7,1.6,9;9.8,3.1,9"
207,3,"9.3,8.3,10;16.5,7.9,8;9.1,3.9,9;19.5,4.6,6;8.7,2.0,1;8.9,1.6,8;0.6,2.8,5;13.0,3.7,10;13.6,5.6,8"
208,2,"0.3,14.0,5;0.9,4.2,3;0,10.6,7;4.1,8.8,3;6.1,14.2,6;2.2,11.3,7;1.5,10.5,7;1.6,11.4,4"
209,1,"5.9,4.8,1;18.7,5.2,9;9.9,6.0,5;5.1,9.1,9;9.9,1.4,8;12.2,7.0,9;8.2,9.4,10;3.7,4.3,7"
210,1,"15.8,5.5,5;11.3,9.1,10;1.5,6.8,10;17.5,4.8,9;0.8,9.4,7;17.4,6.5,5;11.8,2.7,9;7.2,7.4,8;13.1,5.6,9;8.3,6.3,6;2.9,5.0,7;2.5,2.0,6;3.2,6.9,7;18.3,6.4,6;12.3,4.4,10;11.9,8.0,5;20.0,3.4,7;9.0,4.8,6;5.1,2.4,9;18.9,2.3,1"
211,3,"8.4,0.8,3;5.5,2.7,2;4.9,1.2,5;3.7,2.2,6;1.2,2.9,5;2.8,1.0,4;0.7,1.5,2;8.5,5.1,9;2.0,0.7,3;4.5,2.1,3;6.5,1.3,7;9.7,0.6,6"
212,1,"6.2,3.1,8;4.3,6.1,2;6.4,2.8,2;0.6,0.7,9;3.3,4.5,5;3.7,3.2,3;6.5,0.5,8;9.8,1.5,1"
213,1,"19.1,8.9,9;1.6,7.5,7;10.1,3.0,10;3.4,8.9,9;6.2,2.2,6;8.1,3.9,10;1.9,7.5,8;2.4,6.9,8;1.6,3.3,1"
214,,"0,5.0,5;0,5.5,5;0,4.5,5;0,5.0,5;0,5.5,5;0,5.3,5;0,4.7,5;0,5.1,5;0,5.0,5;0,5.4,5;0,4.9,5"
215,2,"9.2,1.2,7;11.0,1.2,9;10.6,1.9,6;1.9,7.4,10;10.9,3.5,8;10.9,8.0,8;17.7,2.9,10;0.1,7.5,1;10.6,5.6,6;13.2,3.4,8;12.6,5.0,5;7.7,8.1,8;12.8,9.9,10;5.3,5.2,5;20.0,4.0,6;14.6,4.5,9;15.2,6.7,10"
216,3,"18.7,1.9,8;12.6,5.2,6;14.0,7.5,9;4.6,4.0,10;1.4,4.2,1;10.0,5.5,8;19.5,6.2,5;19.5,4.6,8;14.1,2.9,8;3.3,7.5,6"
217,3,"7.7,10.7,6;3.5,6.6,5;3.6,11.2,7;3.6,9.2,5;5.2,4.7,7;1.4,7.1,6;4.0,1.4,5;5.4,5.4,7;6.1,3.5,5;3.7,11.2,6;6.6,2.9,7;2.2,12.6,5;5.5,8.9,3;2.3,6.5,6;5.8,1.0,5;1.3,8.1,3;0.9,8.2,6"
218,1,"6.8,6.7,10;4.1,7.9,9;14.3,6.5,5;15.0,1.3,1;16.3,7.8,8;13.3,5.3,9;2.5,6.8,7;18.2,6.3,5;3.2,4.5,5"
219,3,"6.7,1.9,9;0.6,3.2,6;3.9,0.7,1;7.8,1.1,10;2.5,0.8,8;2.0,1.3,2;4.3,0.9,10;8.7,1.4,1;5.5,1.2,10;4.4,3.1,1;7.5,5.2,7;0.5,1.7,4;1.4,0.7,9;0.1,1.1,6;9.9,0.7,8;9.2,1.1,10"
220,3,"3.6,2.1,5;8.0,2.4,4;5.1,2.2,2;7.8,3.7,8"
221,2,"3.1,1.4,10;6.2,1.6,3;9.3,0.6,3;3.3,3.8,9;2.7,4.4,2;1.5,2.2,8;0.7,5.4,4;9.1,1.6,10"
222,4,"6.7,0.9,1;5.2,1.2,2;7.3,0.6,3;4.8,2.0,2;5.2,1.7,8;3.3,2.4,6;0.8,1.9,3;4.3,0.6,8;6.9,0.5,1;6.7,1.7,4;0.6,1.1,3;2.7,5.0,7"
223,3,"0,5.0,7;0,4.7,7;0,6.8,6;0,8.5,4;1.4,12.1,4;1.5,14.4,7;0,3.8,7;0,4.2,3;1.7,6.5,4;2.3,13.2,7;1.7,1.1,4;0,5.9,7;0,3.2,3;0,11.4,3;3.2,4.1,7;0,3.8,7;0.6,2.6,7;0.6,4.4,6"
224,3,"7.9,1.0,9;2.4,1.2,3;8.2,3.5,7;4.2,0.7,3;8.5,1.8,3;2.2,1.8,2;5.9,0.6,8;3.6,4.3,4"
225,2,"6.0,2.0,5;7.0,0.7,3;4.3,8.0,3;4.7,2.0,4;1.5,1.8,8;3.8,0.7,5;4.0,1.8,7"
226,2,"2.0,3.5,5;9.3,0.5,2;6.2,2.4,3;9.3,4.3,3;9.7,3.2,6;2.5,2.3,2;8.2,2.2,9;4.6,3.0,3;5.2,0.6,2;0.1,2.6,4;4.3,1.0,4;4.4,4.8,3;3.0,4.7,3;8.3,1.1,3;0.9,5.0,1;4.2,3.6,6;2.4,3.7,9;0.4,1.2,1;7.3,3.0,9;6.2,5.3,10"
